,Year,Brand,Model_Tier,Network_Type,Dual_Sim,Has5G,Battery_mAh,ScreenSize_in,RAM_GB,Storage_GB,Camera_MP,Weight_g,CPU_GHz,Resolution_MP,Price_Class
0,2019,Oppo,Flagship,4g,yes,no,3332.84,6.46,8.0,256.0,64.0,241.78,2.83,5.53,2
1,2023,Nokia,Flagship,5g,yes,yes,4681.0,6.74,12.0,256.0,48.0,259.0,2.96,5.87,3
2,2016,Samsung,Budget,4g,yes,no,3332.84,5.09,4.0,64.0,8.0,221.0,1.56,2.39,0
3,2023,Oneplus,Midrange,5g,no,yes,3650.0,6.45,8.0,128.0,48.0,215.0,2.32,4.72,3
4,2024,Motorola,Midrange,5g,no,yes,4388.0,6.81,8.0,256.0,48.0,242.0,2.96,5.28,3
5,2022,Apple,Midrange,4g,no,no,3624.0,6.28,6.0,128.0,48.0,260.0,2.72,4.29,2
6,2024,Motorola,Budget,4g,yes,no,3584.0,5.63,8.0,128.0,48.0,236.0,2.52,5.42,3
7,2017,Samsung,Midrange,4g,yes,no,2980.0,5.48,4.0,128.0,32.0,256.0,2.14,3.56,1
8,2022,Motorola,Flagship,4g,yes,no,3997.0,6.64,12.0,256.0,48.0,260.0,3.01,5.67,3
9,2018,Xiaomi,Flagship,4g,yes,no,4224.0,6.39,6.0,256.0,48.0,260.0,2.36,4.8,2
10,2016,Xiaomi,Midrange,3g,yes,no,3403.0,4.97,6.0,128.0,32.0,246.0,2.69,3.54,1
11,2021,Vivo,Midrange,4g,yes,no,3180.0,6.1,6.0,256.0,32.0,243.0,2.59,5.66,2
12,2023,Motorola,Midrange,5g,no,yes,3733.0,6.57,6.0,128.0,64.0,260.0,2.62,5.21,2
13,2015,Sony,Flagship,3g,no,no,2962.0,5.53,8.0,256.0,24.0,246.0,2.34,4.33,1
17,2023,Huawei,Midrange,5g,yes,yes,3890.0,6.36,8.0,256.0,48.0,245.0,3.15,5.02,2
18,2018,Motorola,Budget,4g,yes,no,2582.0,5.53,4.0,64.0,16.0,239.0,1.71,3.29,0
19,2022,Oneplus,Budget,4g,yes,no,3284.0,5.96,6.0,256.0,48.0,237.0,2.4,4.39,2
20,2019,Motorola,Budget,4g,yes,no,3218.0,4.97,2.0,32.0,32.0,234.0,2.29,3.41,0
21,2016,Huawei,Flagship,3g,no,no,2980.0,6.02,6.0,256.0,48.0,241.0,2.33,3.88,2
22,2015,Samsung,Flagship,3g,yes,no,3739.0,6.11,8.0,256.0,48.0,227.0,2.48,4.35,3
23,2020,Xiaomi,Budget,4g,yes,no,3045.0,5.23,6.0,32.0,24.0,249.0,1.84,2.88,0
24,2017,Motorola,Budget,3g,yes,no,2731.0,5.43,3.0,64.0,12.0,236.0,1.75,1.95,2
25,2017,Apple,Budget,4g,no,no,2791.0,5.02,3.0,64.0,32.0,248.0,2.03,2.39,0
26,2019,Samsung,Midrange,4g,yes,no,3432.0,5.81,6.0,128.0,32.0,256.0,2.26,3.92,1
27,2022,Apple,Midrange,4g,no,no,4336.0,6.39,8.0,128.0,32.0,236.0,2.17,5.57,2
28,2022,Xiaomi,Midrange,4g,no,no,3123.0,6.34,8.0,128.0,48.0,260.0,2.59,5.47,1
29,2015,Motorola,Budget,4g,yes,no,2779.0,5.34,4.0,32.0,24.0,245.0,1.51,2.28,0
30,2018,Samsung,Flagship,4g,yes,no,3632.0,6.18,8.0,256.0,48.0,260.0,2.69,5.35,2
31,2018,Apple,Midrange,4g,no,no,3548.0,5.69,8.0,128.0,32.0,260.0,2.52,3.0,1
32,2015,Apple,Budget,3g,no,no,2292.0,5.07,3.0,64.0,8.0,244.0,2.0,2.94,0
33,2015,Samsung,Midrange,4g,yes,no,2475.0,4.69,2.0,128.0,32.0,211.0,1.68,3.09,0
34,2023,Samsung,Midrange,5g,no,yes,3543.0,6.12,8.0,256.0,64.0,242.0,2.93,4.68,3
35,2015,Oppo,Flagship,4g,yes,no,3756.0,5.43,6.0,256.0,32.0,227.0,2.64,3.93,2
36,2024,Xiaomi,Budget,5g,yes,yes,4195.0,6.58,6.0,128.0,32.0,260.0,2.24,4.56,2
37,2020,Vivo,Flagship,5g,no,yes,3260.0,6.15,6.0,256.0,64.0,260.0,2.65,4.94,3
38,2016,Xiaomi,Budget,4g,no,no,3141.0,5.06,2.0,32.0,24.0,211.0,1.51,2.4,0
40,2015,Apple,Midrange,3g,no,no,2485.0,4.9,3.0,128.0,8.0,236.0,2.06,2.74,0
43,2021,Oppo,Budget,4g,yes,no,3218.0,5.32,6.0,128.0,32.0,223.0,2.3,3.07,1
