Year,Brand,Model Tier,OS,Network Type,Dual Sim,Has5G,Battery_mAh,ScreenSize_in,RAM_GB,StorageGB,Camera_MP,Weight_g,CPU_GHz,Resolution_MP,PriceClass
2019,Oppo,Flagship,Android,4G,Yes,No,NA,6.46,8,256,64,NA,2.83,5.53,2
2023, Nokia,Flagship,Android,5G,Yes,Yes,4681,6.74,12,256,48,259,2.96,5.87,3
2016,Samsung,Budget,Android,4G,YES,No#,NA,5.09,4,64,8,221,1.56,2.39,0
2023,OnePlus,Midrange, ANDROID,5G,No,yes,3650,6.45,8,128,48,215,2.32,4.72,3
2024, Motorola , MIDRANGE !,Android,5g,No,Yes,4388,6.81,8,256,48,242,2.96,5.28,3
2022,Apple,Midrange, ios,4G,No,No,3624,6.28,6,128,48,260,2.72,4.29,2
2024,Motorola,Budget,android$,4G,Yes, no ,3584,5.63,8,128,48,236,2.52,5.42,3
2017,Samsung,Midrange,ANDROID,4G,Yes,No,2980,5.48,4,128,32,256,2.14,3.56,1
2022, Motorola,Flagship#,android, 4G ,Yes,No,3997,6.64,12,256,48,260,3.01,5.67,3
2018, Xiaomi ,Flagship,ANROID*,4G,Yes,No,4224,6.39,6,256,48,260,2.36,4.8,2
2016,Xiaomi,Midrange,Android,3G,Yes,No,3403,4.97,6,128,32,246,2.69,3.54,1
2021,vivo*,Midrange,Android!, 4G,Yes ,No,3180,6.1,6,256,32,243,2.59,5.66,2
2023,Motorola,Midrange,android, 5g,NO,Yes,3733,6.57,6,128,64,260,2.62,5.21,2
2015,Sony,Flagship,Android,3G,No,No,2962,5.53,8,256,24,246,2.34,4.33,1
NA,Sony,Budget,Android,4G,No,No,3656,5.58,6,64,32,224,1.47,3.48,1
2021,NA,Budget,Android,4G,Yes,No,3842,5.51,6,64,32,221,2.55,4.33,2
2023,Xiaomi,NA,Android,5G,No,Yes,4373,6.04,8,256,48,234,2.82,5.69,3
2023,Huawei ,Midrange,Android ,5G ,Yes,Yes,3890,6.36,8,256,48,245,3.15,5.02,2
2018,Motorola#,Budget,ANDROID ,4G, Yes *,No,2582,5.53,4,64,16,239,1.71,3.29,0
2022,OnePlus,Budget,Android,4G, Yes ,no!,3284,5.96,6,256,48,237,2.4,4.39,2
2019,Motorola,Budget,Android,4G,Yes,NO ,3218,4.97,2,32,32,234,2.29,3.41,0
2016,Huawei,Flagship,HarmonyOS,3G,No,No,2980,6.02,6,256,48,241,2.33,3.88,2
2015,Samsung,Flagship,Android,3G,yes,No,3739,6.11,8,256,48,227,2.48,4.35,3
2020,Xiaomi,Budget,Android,4G,Yes,No,3045,5.23,6,32,24,249,1.84,2.88,0
2017,Motorola,Budget,Android,3G,YES!,No,2731,5.43,3,64,12,236,1.75,1.95,NA
2017,Apple,Budget,iOS,4G,No,No,2791,5.02,3,64,32,248,2.03,2.39,0
2019,Samsung,Midrange,NA, 4G,Yes,NO,3432,5.81,6,128,32,256,2.26,3.92,1
2022,apple,midrange ,iOS,4G,No,No,4336,6.39,8,128,32,236,2.17,5.57,2
2022,Xiaomi,Midrange,Android,4G,No,NO,3123,6.34,8,128,48,260,2.59,5.47,1
2015, Motorola,BUDGET#,android,4G,Yes,No,2779,5.34,4,32,24,245,1.51,2.28,0
2018,Samsung,Flagship,ANDROID,4G,Yes,No,3632,6.18,8,256,48,260,2.69,5.35,2
2018,Apple,Midrange,iOS,4G,No,No,3548,5.69,8,128,32,260,2.52,3.0,1
2015,Apple,Budget,iOS , 3G ,No,No,2292,5.07,3,64,8,244,2.0,2.94,0
2015,samsung,Midrange,android,4G, YES,No*,2475,4.69,2,128,32,211,1.68,3.09,0
2023,Samsung,Midrange,Android,5G,No,Yes,3543,6.12,8,256,64,242,2.93,4.68,3
2015,Oppo,Flagship,Android,4G,yes ,No,3756,5.43,6,256,32,227,2.64,3.93,2
2024,Xiaomi, Budget,Android,5G,Yes,Yes,4195,6.58,6,128,32,260,2.24,4.56,2
2020,Vivo,Flagship,Android,5G,No,Yes,3260,6.15,6,256,64,260,2.65,4.94,3
2016,Xiaomi,Budget,Android,4G,No , NO ,3141,5.06,2,32,24,211,1.51,2.4,0
2016,Xiaomi, BUDGET, android,4G ,YES ,NA,2366,4.76,6,64,32,247,2.03,3.22,1
2015,Apple$,Midrange,iOS,3G,No,NO,2485,4.9,3,128,8,236,2.06,2.74,0
NA,OnePlus,Budget,Android,3G,Yes,No,2436,4.95,4,32,8,232,1.6,2.82,0
2015,Samsung,NA,Android$,3g ,Yes,No,3221,5.09,2,64,8,227,1.35,2.42,0
2021,Oppo, BUDGET*,Android,4G,Yes,No,3218,5.32,6,128,32,223,2.3,3.07,1
2018,Huawei,BUDGET,HarmonyOS,4G,Yes,No,2775,5.09,4,64,16,210,2.24,3.25,0
2021,NA,Midrange,Android,4G,Yes,No,3370,5.79,8,128,32,240,2.49,5.51,2
2018, PPLE ,Midrange,iOS,4G,No,No,2770,5.52,6,64,16,233,2.25,4.0,1
2020,Google,Flagship, Android!,4G*,Yes,No,3620,6.73,8,256,48,260,2.96,5.69,2
2022,Huawei,Midrange, Android,5G$, Yes,Yes,3668,6.26,12,256,64,252,2.27,5.83,3
2021,Google,Midrange,Android,4G,YES, no ,3803,6.22,8,256,64,235,2.96,5.53,3
2024,Apple,FLAGSHIP,iOS,5G$,No,Yes,4693,6.94,12,256,64,260,2.98,7.23,3
2015,Google,Midrange,Android,4G,Yes,NA,2773,5.18,2,128,NA,221,2.07,2.96,0
2020,Apple,Midrange,iOS,4G,No,No,3565,5.84,8,128,48,222,2.23,4.89,2
2019, sony,BUDGET$,Android,4G,Yes, No,3146,5.15,4,64,16,259,1.87,2.75,0
2023,motorola ,Midrange,Android,4G,Yes,NO,3352,6.55,8,128,64,260,2.4,5.03,2
2019,xiaomi ,Midrange,ANDROID,4G,yes ,No,2941,5.15,6,128,24,255,1.98,3.41,1
2015,Apple ,FLAGSIP,iOS ,3G,No,No,3370,5.56,4,256,32,244,2.08,NA,2
2015, Xiaomi, midrange,Android,4G ,yes,NO,3521,5.72,4,128,24,257,1.95,2.78,0
2020,Samsung, MIDRAGE,Android,4G,NA,No,3435,5.88,4,256,48,234,2.75,4.62,2
2019,Huawei,Budget,HarmonyOS,4G,Yes,No,3755,5.17,6,32,16,220,1.82,4.0,1
2017,Google,Midrange,Android,3G,Yes!,No,3348,5.4,4,128,12,232,2.1,2.99,1
2017,Nokia ,Midrange,ANDROI,4G,Yes,No,2525,5.26,6,128,16,220,2.54,4.03,1
2022,ONEPLUS,Flgship,Android,4G ,Yes,No,NA,NA,12,256,48,243,3.09,5.26,3
2022,Xiaomi,BUDGET ,Android, 5g,YES*,Yes,2821,5.55,6,256,48,248,2.04,3.69,2
2019,Samsung,Budget,Android ,4g,no,No,3250,5.43,4,64,24,256,2.01,2.92,0
2016,Motorola,Midrange,Android,3G,Yes,No !,2847,5.56,6,128,24,251,1.93,3.36,1
2019,OnePlus,Midrange,Android*,4G,no ,No,3662,6.02,6,128,32,247,2.5,3.76,0
2017,Google,Budget, ANDROID*, 4G ,No*,NA,2613,NA,4,32,48,250,1.71,3.04,1
2024,Huawei,Midrange,Android,5G,Yes,Yes,4259,6.56,8,256,64,260,2.83,6.25,3
2024,Vivo,Budget,Android,4G,Yes, No*,3915,5.93,6,128,48,257,2.15,5.37,2
2020,Vivo,Midrange,Android,5G ,Yes,Yes,3373,5.92,6,256,48,259,1.92,4.49,1
2021,Apple,Budget *,iOS,4G,No,No,3607,5.58,6,128,32,243,2.46,3.58,2
2023, Oppo$,Midrange,Android, 5g,No,Yes,4484,6.26,8,256,64,258,2.67,5.29,2
2023,Huawei,Budget, HarmonyOS,4G,No,NA,4069,6.41,8,128,48,243,2.07,4.54,2
2022,Motorola,Flagship,Android,5G,No *,Yes,4250,6.63,12,256,64,253,3.08,6.21,3
2016,Xiaomi,Midrange,Android,3G,Yes,No,2677,5.25,6,32,16,257,1.88,3.31,0
2015,Vivo,Budget,Android,4G,Yes,No,2610,4.66,2,32,24,204,1.71,NA,0
2019, SAMSUNG !,BUDGET,Android,4G,Yes, No,2915,5.05,4,32,32,240,1.86,3.53,0
2022,Xiaomi, BUDGET,Android,4G,yes,no#,3780,5.82,6,256,32,216,1.73,4.18,2
2021,Samsung,Budget,Android, 4G,No,No,3626,5.61,6,128,32,244,1.96,3.32,1
2018,vivo,Budget,Android,4G,Yes,no ,2516,5.75,NA,128,16,246,2.0,3.0,1
2015,Nokia,Flagship,Android,4G,No,No,3139,4.76,4,256,16,251,2.74,4.72,1
2019,Samsung,Flagship,Android,4G,YES,No,3877,5.99,6,256,48,258,2.8,5.95,2
2024,Google,Midrange,Android,4G,yes, No ,4393,6.47,12,256,64,246,3.12,5.84,3
2018, Huawei *, Flagship#,HarmonyOS,NA,yes,No,3929,6.11,8,256,64,260,2.43,5.72,3
2016,samsung ,Budget,Android,NA,Yes, no ,2824,4.76,2,64,NA,209,1.33,3.1,1
2015,Nokia,Flagship,Android,4G,Yes,no #,3201,5.61,8,256,32,257,2.47,4.64,3
2019,Vivo,Budget, android*,4G,Yes,No,3508,5.19,4,128,12,225,1.91,3.65,0
2019,Motorola,NA,Android,4G,no,No,3262,5.16,6,128,24,233,2.3,2.98,1
2018,Samsung,BUDGET,Android,4g ,Yes,No,3450,5.42,3,128,24,248,1.98,3.91,0
2022,Apple,Midrange,iOS,4G, No,No,3442,5.99,8,128,32,246,2.66,4.95,2
2016,googe,Budget,Android,4G,Yes,No,2370,5.17,2,32,32,240,1.87,2.19,0
2024,Oppo,Budget,Android,5G,Yes,Yes #,3834,6.26,8,256,48,260,2.51,4.29,3
2021,Samsung, BUDGET,Android, 4G ,No,No,3521,5.32,8,128,48,224,1.5,3.74,2
2018,Motorola,Midrange, Android,4G#,Yes *,No,3931,5.79,6,64,32,260,2.42,4.06,1
